,Symbol,Hurricane Date,Hurricane Category,Wills Volatility Measure,Volatility Measure MA,Volatility Measure Trailing MA
9,^FCHI,2008-09-01,2,1.2284635772121713,1.746397252920568,1.92624896699524
10,^FCHI,2014-07-04,2,0.4650198974231074,0.8525285970054155,0.7590716617899979
11,^FCHI,2016-10-07,2,0.9597570746795052,1.320523114532136,1.2638998494298566
12,^FCHI,1991-08-19,2,3.5723774471184835,0.6975596262892094,0.9767714549868157
13,^FCHI,1991-08-19,2,3.5723774471184835,0.6975596262892094,0.9767714549868157
14,^FCHI,1991-08-19,2,3.5723774471184835,0.6975596262892094,0.9767714549868157
15,^FCHI,1991-08-19,3,3.5723774471184835,0.6975596262892094,0.9767714549868157
16,^FCHI,1992-08-24,5,2.503819002166651,1.480703604535444,1.5840749324679486
17,^FCHI,1992-08-26,3,1.898922834597151,1.648005238878258,1.5955998780165508
18,^FCHI,1992-09-11,4,1.722983287579728,1.7122429292128,1.480703604535444
19,^FCHI,1993-08-31,3,1.1355601507843267,1.1777862187905748,1.4151121094553427
20,^FCHI,1995-08-03,2,0.952477248167078,1.1435541085248662,1.2604787673533364
21,^FCHI,1995-10-04,3,1.2465927358549944,1.527000397688351,1.2231066809926259
22,^FCHI,1996-07-12,2,0.9960885067723649,0.7940681450048606,0.864910182408774
23,^FCHI,1996-09-06,3,1.7206313952080308,0.8282968166567609,1.039569310660453
24,^FCHI,1998-09-25,2,2.6047837308139576,3.079309031866642,2.49385674869229
25,^FCHI,1998-09-29,2,2.532503723886648,2.980779665920498,2.5810991598318127
26,^FCHI,1998-08-27,2,2.8584617845822518,2.009042689399642,1.431793374316347
27,^FCHI,1999-09-16,2,1.0941557924861445,1.3530387438008438,1.5593045656494973
28,^FCHI,1999-10-18,2,1.3120406195217826,1.3337838160969384,1.2954275725921531
29,^FCHI,1999-08-23,3,1.2021854718198337,1.552724075860172,1.5139609812095935
30,^FCHI,1999-09-16,4,1.0941557924861445,1.3530387438008438,1.5593045656494973
0,^STOXX50E,2008-09-01,2,1.3725063641631003,1.6581489638859823,1.9480013988481335
1,^STOXX50E,2014-07-04,2,0.4758637196847078,0.8985398797759155,0.8935607184655646
2,^STOXX50E,2016-10-07,2,1.0720985222369892,1.403438940455329,1.3439247624102544
0,000001.SS,2003-09-18,2,0.84942207070463,1.0347149300990626,0.891868541475198
1,000001.SS,2004-09-16,3,1.7414630441290138,1.728681447111239,1.5160122765880484
2,000001.SS,2004-08-13,4,1.4254506648297511,1.6896094038496603,1.730130424601248
3,000001.SS,2004-09-16,3,1.7414630441290138,1.728681447111239,1.5160122765880484
4,000001.SS,2005-08-29,3,2.075915334763763,1.8603795352881147,1.8439301459019768
5,000001.SS,2005-08-25,3,1.331141955659444,1.9120712058599205,1.8283417438436484
6,000001.SS,2005-10-24,3,0.8377121516503095,1.4610026280311348,1.505209177627793
7,000001.SS,2005-08-29,3,2.075915334763763,1.8603795352881147,1.8439301459019768
8,000001.SS,2005-08-29,3,2.075915334763763,1.8603795352881147,1.8439301459019768
9,000001.SS,2008-09-01,2,2.9300131727434886,3.4088299578542793,2.9287646213540293
10,000001.SS,2014-07-04,2,0.5273154775141187,0.8795398692198733,0.9680902787829001
11,000001.SS,1998-09-25,2,2.4445883693711528,2.189778468909791,3.0490295154540017
12,000001.SS,1998-09-29,2,0.9948288364825156,2.250731499974291,2.9624688199970315
13,000001.SS,1998-08-27,2,1.090621036427465,2.5283644966508625,1.2600653683676912
14,000001.SS,1999-09-16,2,1.2681446328408932,1.7449158442385495,1.6697034034348763
15,000001.SS,1999-10-18,2,3.2736505142209937,1.5751596632928613,1.6253162910430898
16,000001.SS,1999-08-23,3,1.103317877859474,1.7592534552473564,2.62961024794773
17,000001.SS,1999-09-16,4,1.2681446328408932,1.7449158442385495,1.6697034034348763
0,^HSI,2003-09-18,2,1.3128798660253849,1.2473712891527622,1.1583688553404854
1,^HSI,2004-09-16,3,1.3635626856061112,0.9768705988431666,1.1089923564996509
2,^HSI,2004-08-13,4,0.7174323573626523,1.089296585435449,1.2443797275796076
3,^HSI,2004-09-16,3,1.3635626856061112,0.9768705988431666,1.1089923564996509
4,^HSI,2005-08-29,3,0.8585698535996513,0.9857474766920442,0.7788025329272188
5,^HSI,2005-08-25,3,0.8842237909767641,0.971038609597367,0.8099686265010103
6,^HSI,2005-10-24,3,1.2762211430988466,0.9057139574814886,0.8377688806128623
7,^HSI,2005-08-29,3,0.8585698535996513,0.9857474766920442,0.7788025329272188
8,^HSI,2005-08-29,3,0.8585698535996513,0.9857474766920442,0.7788025329272188
9,^HSI,2008-09-01,2,0.8927935937666014,1.991904524929538,1.6280506839494957
10,^HSI,2014-07-04,2,0.5001488015199882,0.883163853424672,0.812129362286838
11,^HSI,2016-10-07,2,0.7494216437718559,1.1274510676894873,1.0246371646701669
12,^HSI,1989-09-22,4,0.0,0.0,0.0
13,^HSI,1991-08-19,2,8.964451313755797,0.8812806916158206,1.1259559467720541
14,^HSI,1991-08-19,2,8.964451313755797,0.8812806916158206,1.1259559467720541
15,^HSI,1991-08-19,2,8.964451313755797,0.8812806916158206,1.1259559467720541
16,^HSI,1991-08-19,3,8.964451313755797,0.8812806916158206,1.1259559467720541
17,^HSI,1992-08-24,5,1.9584446459750031,1.494074057858589,1.514520128154141
18,^HSI,1992-08-26,3,3.0283166366642402,1.4673147511686593,1.4941984044418897
19,^HSI,1992-09-11,4,1.6246799799217493,1.7250507137236326,1.4923228643497355
20,^HSI,1993-08-31,3,1.7202207223789707,1.4069620584969802,1.3603108420106853
21,^HSI,1995-08-03,2,0.871476362020009,1.2248193343827813,1.144022832039298
22,^HSI,1995-10-04,3,1.2562986687813569,1.03711714656069,1.1439526111280727
23,^HSI,1996-07-12,2,0.8869605366598072,0.8861483500150892,0.9172222892235643
24,^HSI,1996-09-06,3,0.867181806795409,0.8657610705668553,0.9925288174645568
25,^HSI,1998-09-25,2,2.518300070376723,3.1461432661710598,3.925070386478578
26,^HSI,1998-09-29,2,2.0642768189134446,3.3306785259573592,4.148427619692124
27,^HSI,1998-08-27,2,1.1668251233285218,3.6957928601882166,2.5359010756291425
28,^HSI,1999-08-23,3,1.9061898133904456,2.033079570169915,1.9952234378140725
